"doubles_uses,standard_uses,total_uses,season_number,team_name,league,role"
"2,2,4,18,Express,CHAMPION,PLAYERE"
"3,8,11,18,Express,CHAMPION,PLAYERF"
"2,3,5,18,Express,CHAMPION,PLAYERG"
"3,8,11,18,Express,MASTER,PLAYERA"
"4,7,11,18,Express,MASTER,PLAYERB"
"3,7,10,18,Express,MASTER,PLAYERC"
"4,3,7,18,Express,MASTER,PLAYERD"
"5,2,7,18,Express,MASTER,PLAYERE"
"1,1,2,18,Express,MASTER,PLAYERF"
"0,2,2,18,Express,MASTER,PLAYERG"
"2,4,6,18,Express,PREMIER,PLAYERA"
"6,6,12,18,Express,PREMIER,PLAYERB"
"4,6,10,18,Express,PREMIER,PLAYERC"
"4,8,12,18,Express,PREMIER,PLAYERD"
"1,0,1,18,Express,PREMIER,PLAYERE"
"3,6,9,18,Express,PREMIER,PLAYERF"
"4,5,9,18,Flames,ACADEMY,PLAYERA"
"5,5,10,18,Flames,ACADEMY,PLAYERB"
"4,6,10,18,Flames,ACADEMY,PLAYERC"
"6,2,8,18,Flames,ACADEMY,PLAYERD"
"2,5,7,18,Flames,ACADEMY,PLAYERE"
"0,3,3,18,Flames,ACADEMY,PLAYERF"
"0,4,4,18,Flames,ACADEMY,PLAYERG"
"4,7,11,18,Flames,CHAMPION,PLAYERA"
"6,5,11,18,Flames,CHAMPION,PLAYERB"
"3,3,6,18,Flames,CHAMPION,PLAYERC"
"0,7,7,18,Flames,CHAMPION,PLAYERD"
"4,4,8,18,Flames,CHAMPION,PLAYERE"
"3,4,7,18,Flames,CHAMPION,PLAYERF"
"2,2,4,18,Flames,FOUNDATION,PLAYERA"
"4,9,13,18,Flames,FOUNDATION,PLAYERB"
"6,5,11,18,Flames,FOUNDATION,PLAYERC"
"2,2,4,18,Flames,FOUNDATION,PLAYERD"
"4,8,12,18,Flames,FOUNDATION,PLAYERE"
"2,6,8,18,Flames,FOUNDATION,PLAYERF"
"4,6,10,18,Flames,MASTER,PLAYERA"
"5,7,12,18,Flames,MASTER,PLAYERB"
"4,5,9,18,Flames,MASTER,PLAYERC"
"2,6,8,18,Flames,MASTER,PLAYERD"
"0,1,1,18,Flames,MASTER,PLAYERE"
"5,5,10,18,Flames,MASTER,PLAYERF"
"4,7,11,18,Foxes,ACADEMY,PLAYERA"
"4,8,12,18,Foxes,ACADEMY,PLAYERB"
"2,6,8,18,Foxes,ACADEMY,PLAYERC"
"2,3,5,18,Foxes,ACADEMY,PLAYERD"
"4,2,6,18,Foxes,ACADEMY,PLAYERE"
"3,4,7,18,Foxes,ACADEMY,PLAYERF"
"1,0,1,18,Foxes,ACADEMY,PLAYERG"
"3,8,11,18,Foxes,CHAMPION,PLAYERA"
"2,8,10,18,Foxes,CHAMPION,PLAYERB"
"2,3,5,18,Foxes,CHAMPION,PLAYERC"
"2,3,5,18,Foxes,CHAMPION,PLAYERD"
"7,3,10,18,Foxes,CHAMPION,PLAYERE"
"1,6,7,18,Foxes,CHAMPION,PLAYERF"
"3,0,3,18,Foxes,CHAMPION,PLAYERG"
"3,8,11,18,Foxes,FOUNDATION,PLAYERA"
"5,4,9,18,Foxes,FOUNDATION,PLAYERB"
"5,6,11,18,Foxes,FOUNDATION,PLAYERC"
"3,2,5,18,Foxes,FOUNDATION,PLAYERD"
"4,8,12,18,Foxes,FOUNDATION,PLAYERE"
"0,2,2,18,Foxes,FOUNDATION,PLAYERF"
"2,0,2,18,Foxes,MASTER,PLAYERA"
"4,4,8,18,Foxes,MASTER,PLAYERB"
"2,2,4,18,Foxes,MASTER,PLAYERC"
"5,6,11,18,Foxes,MASTER,PLAYERD"
"3,7,10,18,Foxes,MASTER,PLAYERE"
"0,4,4,18,Foxes,MASTER,PLAYERF"
"5,4,9,18,Foxes,MASTER,PLAYERG"
"5,5,10,18,Hawks,ACADEMY,PLAYERA"
"6,5,11,18,Hawks,ACADEMY,PLAYERB"
"2,6,8,18,Hawks,ACADEMY,PLAYERC"
"1,3,4,18,Hawks,ACADEMY,PLAYERD"
"0,4,4,18,Hawks,ACADEMY,PLAYERE"
"3,2,5,18,Hawks,ACADEMY,PLAYERF"
"3,2,5,18,Hawks,ACADEMY,PLAYERG"
"3,4,7,18,Hawks,CHAMPION,PLAYERA"
"3,3,6,18,Hawks,CHAMPION,PLAYERB"
"3,7,10,18,Hawks,CHAMPION,PLAYERC"
"6,3,9,18,Hawks,CHAMPION,PLAYERD"
"3,5,8,18,Hawks,CHAMPION,PLAYERE"
"2,6,8,18,Hawks,CHAMPION,PLAYERF"
"5,7,12,18,Hawks,FOUNDATION,PLAYERA"
"2,7,9,18,Hawks,FOUNDATION,PLAYERB"
"2,7,9,18,Hawks,FOUNDATION,PLAYERC"
