"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"14,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Premier League,Standard,0,0,Not Played / Data Unavailable"
"118,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Master League,Standard,0,0,Not Played / Data Unavailable"
"67,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Champion League,Standard,0,0,Not Played / Data Unavailable"
"10,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Academy League,Standard,0,0,Not Played / Data Unavailable"
"116,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Premier League,Doubles,0,0,Not Played / Data Unavailable"
"115,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Master League,Doubles,0,0,Not Played / Data Unavailable"
"110,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"113,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"53,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Premier League,Standard,0,0,Not Played / Data Unavailable"
"103,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Master League,Standard,0,0,Not Played / Data Unavailable"
"109,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Champion League,Standard,0,0,Not Played / Data Unavailable"
"112,29,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Tyrants,Bulls,Academy League,Standard,0,0,Not Played / Data Unavailable"
"503,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Master League,Doubles,0,0,Not Played / Data Unavailable"
