"match_id,round_id,Home,Home Goals,Away,Away Goals"
"54034,160766,Elite,3,Ducks,4"
"53985,160771,Bears,0,Outlaws,2"
"53985,160774,Bears,4,Outlaws,0"
"54006,160791,Rhinos,6,Knights,2"
"53937,160951,Shadow,0,Aviators,2"
"53936,160954,Shadow,3,Aviators,4"
"53936,160955,Shadow,2,Aviators,3"
"53991,160968,Bulls,1,Spartans,3"
"53991,160972,Bulls,0,Spartans,8"
"53990,160973,Bulls,4,Spartans,3"
"53990,160974,Bulls,4,Spartans,5"
"54170,160984,Sharks,4,Demolition,8"
"53923,161001,Blizzard,1,Hurricanes,2"
"53917,161025,Blizzard,2,Hurricanes,3"
"54023,161035,Dodgers,3,Sharks,2"
"53956,161060,Eclipse,2,Tyrants,0"
"54025,161475,Dodgers,3,Sharks,4"
"54168,161485,Sharks,4,Demolition,3"
"54122,161490,Knights,7,Pandas,2"
"54146,161495,Ducks,3,Dodgers,1"
"54110,161513,Express,0,Bulls,5"
"54046,161517,Aviators,5,Lightning,2"
"54128,161524,Outlaws,4,Rhinos,2"
"54171,161530,Sharks,3,Demolition,4"
"54167,161538,Sharks,2,Demolition,1"
"54096,161551,Sabres,2,Wizards,3"
"54096,161553,Sabres,2,Wizards,3"
"53929,161564,Lightning,3,Jets,5"
"53927,161579,Lightning,1,Jets,0"
"54085,161807,Puffins,3,Spectre,2"
"54085,161808,Puffins,1,Spectre,2"
"54085,161809,Puffins,2,Spectre,4"
"54133,161844,Spartans,0,Bears,3"
"54049,161921,Aviators,3,Lightning,1"
"54049,161925,Aviators,2,Lightning,3"
"54163,161936,Pirates,5,Flames,1"
"54123,161957,Knights,3,Pandas,4"
"54068,161963,Jets,4,Blizzard,0"
"54154,162248,Hawks,1,Elite,2"
"54086,162287,Puffins,4,Spectre,2"
"54135,162296,Spartans,4,Bears,2"
"54074,162431,Jets,7,Blizzard,6"
"54071,162441,Jets,0,Blizzard,1"
"54144,162455,Ducks,4,Dodgers,1"
"54144,162456,Ducks,3,Dodgers,2"
"54062,162460,Hurricanes,2,Wolves,3"
"54079,162463,Foxes,6,Eclipse,2"
"54094,162471,Sabres,2,Wizards,4"
"54107,162482,Tyrants,1,Comets,5"
"54268,163747,Demolition,2,Ducks,5"
"54268,163748,Demolition,2,Ducks,5"
"54226,163765,Spectre,5,Sabres,1"
"54283,163936,Dodgers,3,Hawks,2"
"54231,163961,Wizards,4,Tyrants,3"
"54232,163968,Wizards,4,Tyrants,3"
"54276,164035,Dodgers,2,Hawks,3"
"54194,164071,Shadow,3,Hurricanes,5"
"54175,164079,Blizzard,0,Aviators,1"
"54248,164293,Bulls,4,Knights,3"
"54251,164302,Bulls,1,Knights,2"
"54220,164311,Spectre,5,Sabres,2"
"54220,164313,Spectre,5,Sabres,0"
"54298,164341,Flames,2,Sharks,1"
"54298,164342,Flames,2,Sharks,3"
"54224,164350,Spectre,1,Sabres,2"
"54236,164564,Bears,2,Express,3"
"54236,164565,Bears,4,Express,3"
"54174,164570,Blizzard,4,Aviators,5"
"54238,164575,Bears,3,Express,4"
"54211,164585,Comets,2,Foxes,0"
"54211,164588,Comets,0,Foxes,1"
"54262,164595,Rhinos,4,Spartans,3"
"54288,164612,Elite,5,Pirates,3"
"54288,164615,Elite,1,Pirates,3"
"54197,164697,Wolves,2,Jets,3"
"54284,164723,Elite,7,Pirates,2"
"54178,164728,Blizzard,2,Aviators,1"
"54416,164733,Bears,4,Pandas,2"
"54325,164747,Wizards,5,Eclipse,2"
"54230,164751,Wizards,3,Tyrants,0"
"54219,164765,Eclipse,0,Puffins,2"
"54218,164768,Eclipse,4,Puffins,1"
"54218,164769,Eclipse,7,Puffins,1"
"54408,164928,Spartans,2,Knights,3"
"54362,164943,Wolves,3,Lightning,6"
"54362,164944,Wolves,3,Lightning,4"
"54362,164945,Wolves,1,Lightning,7"
"54311,164952,Tyrants,1,Puffins,5"
"54305,165040,Foxes,3,Sabres,5"
"54374,165065,Sharks,4,Hawks,3"
"54281,165072,Dodgers,1,Hawks,4"
"54300,165083,Foxes,4,Sabres,3"
"54350,165294,Blizzard,0,Shadow,5"
"54307,165314,Foxes,6,Sabres,3"
"54366,165318,Ducks,4,Pirates,2"
"54319,165327,Comets,2,Spectre,3"
"54373,165332,Sharks,6,Hawks,2"
"54338,165342,Aviators,1,Hurricanes,5"
"54310,165416,Tyrants,4,Puffins,3"
"54310,165417,Tyrants,2,Puffins,3"
"54322,165423,Comets,2,Spectre,5"
"54351,165426,Blizzard,1,Shadow,3"
"54336,165430,Aviators,0,Hurricanes,2"
"54336,165432,Aviators,0,Hurricanes,1"
"54336,165433,Aviators,4,Hurricanes,2"
"54315,165435,Tyrants,3,Puffins,1"
"54328,165444,Wizards,7,Eclipse,1"
"54328,165448,Wizards,5,Eclipse,4"
"54331,165450,Wizards,2,Eclipse,3"
"54327,165454,Wizards,4,Eclipse,3"
"54335,165461,Aviators,2,Hurricanes,6"
"54410,165469,Spartans,1,Knights,2"
"54312,165605,Tyrants,5,Puffins,4"
"54313,165609,Tyrants,2,Puffins,6"
"54443,165663,Sabres,1,Tyrants,5"
"54495,165744,Hawks,4,Ducks,3"
"54428,165749,Puffins,4,Foxes,7"
"54428,165750,Puffins,5,Foxes,4"
"54516,165942,Elite,4,Flames,5"
"54531,165954,Knights,3,Express,2"
"54523,165965,Elite,0,Flames,3"
"54507,165966,Pirates,4,Sharks,3"
"54552,166021,Pandas,6,Rhinos,2"
"54488,166144,Shadow,1,Wolves,0"
"54454,166147,Spectre,1,Wizards,2"
"54462,166230,Hive,5,Aviators,2"
"54446,166239,Eclipse,1,Comets,2"
"54483,166252,Lightning,5,Blizzard,2"
"54483,166256,Lightning,6,Blizzard,0"
"54629,166539,Sharks,1,Ducks,2"
"54629,166540,Sharks,1,Ducks,3"
"54629,166542,Sharks,2,Ducks,3"
"54662,166548,Spartans,3,Express,5"
"54662,166549,Spartans,4,Express,5"
"54662,166550,Spartans,4,Express,9"
"54651,166552,Flames,2,Demolition,1"
"54588,166633,Hurricanes,7,Hive,2"
"54647,166637,Flames,4,Demolition,0"
"54647,166640,Flames,5,Demolition,2"
"54616,166650,Wolves,3,Blizzard,4"
"54630,166656,Sharks,5,Ducks,2"
"54630,166658,Sharks,4,Ducks,1"
"54664,166660,Spartans,3,Express,6"
"54664,166661,Spartans,4,Express,6"
"54582,166729,Wizards,4,Comets,6"
"54591,166745,Hurricanes,3,Hive,2"
"54674,166753,Pandas,8,Bulls,5"
"54563,166842,Sabres,4,Puffins,1"
"54681,166938,Rhinos,1,Bears,4"
"54638,166942,Elite,4,Dodgers,3"
"54562,167029,Sabres,8,Puffins,3"
"54633,167037,Sharks,0,Ducks,1"
"54635,167042,Sharks,0,Ducks,3"
"54635,167043,Sharks,3,Ducks,4"
"54654,167123,Outlaws,5,Knights,1"
"54654,167124,Outlaws,4,Knights,2"
"54593,167135,Hurricanes,1,Hive,2"
"54573,167138,Spectre,6,Eclipse,1"
"54573,167140,Spectre,4,Eclipse,0"
"54332,167207,Aviators,0,Hurricanes,3"
"54460,167237,Hive,5,Aviators,6"
"54652,167353,Outlaws,0,Knights,8"
"53505,150838,Express,4,Spartans,2"
"53505,150839,Express,4,Spartans,2"
"53406,150843,Foxes,2,Tyrants,3"
"53467,150853,Lightning,1,Shadow,2"
"53511,150864,Knights,4,Outlaws,0"
"53424,150879,Comets,5,Wizards,4"
"53484,150885,Demolition,2,Flames,4"
"53487,150891,Demolition,0,Flames,2"
"53449,150896,Hive,4,Hurricanes,3"
"53449,150898,Hive,3,Hurricanes,0"
"53449,150899,Hive,3,Hurricanes,0"
"53523,150906,Bears,5,Rhinos,1"
"53513,150923,Knights,2,Outlaws,5"
"53468,150932,Ducks,5,Sharks,2"
"53439,150941,Aviators,0,Jets,4"
"53405,150947,Foxes,1,Tyrants,4"
"53443,150950,Aviators,0,Jets,1"
"53447,150958,Hive,1,Hurricanes,2"
"53415,151223,Puffins,4,Sabres,1"
"53441,151229,Aviators,1,Jets,2"
"53441,151232,Aviators,7,Jets,8"
"53520,151240,Bears,4,Rhinos,1"
"53520,151242,Bears,1,Rhinos,7"
"53504,151245,Express,3,Spartans,2"
"53504,151247,Express,3,Spartans,0"
"53448,151252,Hive,1,Hurricanes,5"
"53411,151273,Foxes,2,Tyrants,3"
"53411,151274,Foxes,4,Tyrants,0"
"53434,151281,Eclipse,6,Spectre,5"
"53463,151290,Lightning,4,Shadow,0"
"53489,151315,Demolition,1,Flames,6"
"53552,151809,Comets,1,Eclipse,6"
"53606,152233,Sharks,1,Pirates,0"
"53618,152240,Demolition,2,Dodgers,1"
"53546,152242,Tyrants,4,Sabres,3"
"53555,152267,Comets,2,Eclipse,0"
"53624,152276,Flames,5,Elite,2"
"53641,152279,Spartans,1,Outlaws,3"
"53634,152571,Express,4,Knights,1"
"53659,152592,Rhinos,4,Pandas,5"
"53659,152596,Rhinos,2,Pandas,4"
"53583,152610,Blizzard,1,Lightning,2"
"53581,152627,Blizzard,1,Lightning,3"
"53656,152636,Rhinos,2,Pandas,1"
"53603,152642,Ducks,4,Hawks,2"
"53603,152643,Ducks,1,Hawks,2"
"53610,152653,Sharks,2,Pirates,4"
"53610,152654,Sharks,1,Pirates,3"
"53631,152661,Express,2,Knights,3"
"53598,152664,Ducks,3,Hawks,5"
"53554,152668,Comets,2,Eclipse,10"
"53554,152669,Comets,2,Eclipse,6"
"53622,152983,Flames,1,Elite,2"
"53565,153005,Aviators,1,Hive,3"
"53621,153026,Flames,6,Elite,2"
"53619,153335,Demolition,4,Dodgers,2"
"53539,153338,Foxes,1,Puffins,2"
"53539,153339,Foxes,1,Puffins,0"
"53539,153340,Foxes,5,Puffins,0"
"53532,153345,Foxes,3,Puffins,4"
"53532,153346,Foxes,1,Puffins,2"
"53564,153347,Aviators,3,Hive,1"
"53564,153349,Aviators,3,Hive,0"
"53572,153370,Jets,3,Hurricanes,5"
"53572,153371,Jets,5,Hurricanes,3"
"53572,153372,Jets,2,Hurricanes,9"
"53638,153378,Spartans,5,Outlaws,1"
"53601,153383,Ducks,2,Hawks,3"
"53601,153387,Ducks,1,Hawks,2"
"53637,153390,Spartans,5,Outlaws,2"
"53776,154488,Bulls,0,Rhinos,5"
"53682,154508,Eclipse,6,Wizards,2"
"53784,154536,Pandas,3,Bears,5"
"53785,154563,Pandas,1,Bears,2"
"53742,154595,Dodgers,2,Flames,1"
"53742,154596,Dodgers,6,Flames,4"
"53742,154597,Dodgers,3,Flames,2"
"53727,154901,Hawks,2,Sharks,1"
"53759,154924,Knights,3,Spartans,2"
"53759,154926,Knights,3,Spartans,1"
"53723,154933,Shadow,4,Blizzard,2"
"53732,154986,Pirates,9,Ducks,1"
"53687,154991,Spectre,2,Comets,1"
"53768,155136,Outlaws,3,Express,2"
"53709,155142,Lightning,3,Wolves,2"
"53709,155143,Lightning,3,Wolves,2"
"53661,155149,Puffins,3,Tyrants,4"
"53676,155152,Eclipse,9,Wizards,5"
"53773,155156,Bulls,3,Rhinos,1"
"53773,155158,Bulls,2,Rhinos,4"
"53704,155168,Hurricanes,1,Aviators,4"
"53704,155169,Hurricanes,4,Aviators,1"
"53671,155183,Sabres,3,Foxes,0"
"53708,155190,Lightning,2,Wolves,1"
"53677,155194,Eclipse,0,Wizards,1"
"53679,155218,Eclipse,1,Wizards,0"
"53721,155224,Shadow,4,Blizzard,6"
"53689,155235,Spectre,2,Comets,1"
"53757,155240,Knights,3,Spartans,1"
"53664,155247,Puffins,2,Tyrants,5"
"53664,155248,Puffins,7,Tyrants,0"
"53903,158459,Pirates,2,Dodgers,1"
"53802,158466,Hive,4,Blizzard,2"
"53914,158766,Sharks,3,Elite,1"
"53819,158787,Jets,3,Shadow,2"
"53872,158794,Outlaws,3,Bulls,4"
"53872,158796,Outlaws,2,Bulls,3"
"53898,158858,Hawks,1,Demolition,2"
"53880,159154,Spartans,8,Pandas,4"
"53859,159194,Express,3,Rhinos,2"
"53840,159206,Sabres,2,Eclipse,6"
"53838,159212,Sabres,2,Eclipse,1"
"53834,159231,Puffins,0,Comets,1"
"53870,159236,Outlaws,4,Bulls,5"
"53822,159244,Foxes,8,Wizards,0"
"53822,159246,Foxes,5,Wizards,0"
"53908,159444,Sharks,3,Elite,0"
"53795,159477,Aviators,1,Wolves,4"
"53983,161073,Bears,1,Outlaws,3"
"53983,161076,Bears,3,Outlaws,2"
"53984,161080,Bears,2,Outlaws,3"
"53971,161108,Spectre,0,Foxes,7"
"53964,161112,Spectre,3,Foxes,5"
"53932,161132,Shadow,2,Aviators,3"
"53960,161136,Eclipse,0,Tyrants,4"
"53962,161152,Eclipse,4,Tyrants,0"
"53954,161157,Comets,3,Sabres,2"
