"fixture_id,match_group_id,home,away"
"525,33,Hive,Knights"
"422,34,Eclipse,Lightning"
"434,34,Blizzard,Hurricanes"
"435,34,Foxes,Sabres"
"436,34,Puffins,Wolves"
"490,34,Express,Hive"
"491,34,Bulls,Wizards"
"492,34,Pirates,Tyrants"
"493,34,Rhinos,Hawks"
"494,34,Outlaws,Rhinos"
"495,34,Demolition,Wizards"
"496,34,Comets,Spectre"
"497,34,Dodgers,Tyrants"
"498,34,Bulls,Elite"
"499,34,Pandas,Sharks"
"500,34,Ducks,Hive"
"501,34,Aviators,Hawks"
"502,34,Jets,Spartans"
"526,34,Bears,Pirates"
"527,34,Express,Knights"
"528,34,Knights,Hurricanes"
"529,34,Flames,Shadow"
"530,35,Pirates,Dodgers"
"531,36,Spartans,Lightning"
"532,36,Sharks,Demolition"
"533,36,Foxes,Hawks"
"534,36,Ducks,Knights"
"535,36,Lightning,Hawks"
"536,36,Aviators,Wolves"
"537,36,Express,Puffins"
"538,36,Demolition,Spectre"
"539,36,Rhinos,Pandas"
"540,36,Wolves,Puffins"
"541,36,Shadow,Outlaws"
"542,36,Ducks,Sabres"
"543,36,Demolition,Tyrants"
"544,36,Wolves,Hurricanes"
"545,36,Pirates,Shadow"
"546,36,Jets,Hawks"
"547,36,Sharks,Wizards"
"548,36,Eclipse,Foxes"
"549,36,Outlaws,Dodgers"
"550,36,Hive,Ducks"
"551,36,Demolition,Sharks"
"552,36,Knights,Aviators"
"553,36,Hurricanes,Spartans"
"554,36,Elite,Wizards"
"555,36,Lightning,Sabres"
"556,36,Pirates,Rhinos"
"557,36,Aviators,Eclipse"
"558,36,Bears,Elite"
"559,36,Express,Hawks"
"560,36,Tyrants,Bears"
"561,36,Sharks,Outlaws"
"562,36,Bulls,Flames"
"563,36,Sabres,Knights"
"564,36,Shadow,Sharks"
"565,36,Elite,Dodgers"
"566,37,Comets,Elite"
"567,37,Blizzard,Wolves"
"568,37,Sharks,Pandas"
"569,37,Lightning,Foxes"
"570,37,Bulls,Tyrants"
"571,37,Wolves,Blizzard"
"572,37,Sabres,Puffins"
"573,37,Bulls,Sharks"
"574,37,Hurricanes,Foxes"
"575,37,Aviators,Spartans"
"584,37,Demolition,Sharks"
"585,37,Wolves,Jets"
"586,37,Pirates,Tyrants"
"587,37,Knights,Sabres"
"588,37,Shadow,Flames"
"589,37,Blizzard,Foxes"
"590,37,Elite,Sharks"
"591,37,Wolves,Hurricanes"
"592,37,Spectre,Outlaws"
"593,37,Foxes,Ducks"
"594,37,Flames,Sharks"
"595,37,Express,Hawks"
"596,37,Rhinos,Elite"
"597,37,Outlaws,Tyrants"
"598,37,Demolition,Rhinos"
"599,37,Rhinos,Tyrants"
"600,37,Express,Hurricanes"
"601,37,Bears,Dodgers"
"602,37,Sabres,Hawks"
"603,37,Sharks,Flames"
"604,37,Lightning,Ducks"
"605,37,Elite,Wizards"
"606,37,Hive,Eclipse"
"576,38,Blizzard,Foxes"
"577,38,Bears,Demolition"
"578,38,Puffins,Ducks"
"579,38,Pirates,Tyrants"
"580,38,Knights,Express"
"581,38,Tyrants,Pandas"
"582,38,Hurricanes,Spartans"
"583,38,Elite,Sharks"
"607,38,Blizzard,Sabres"
"608,38,Rhinos,Flames"
"609,38,Sabres,Wolves"
"610,38,Shadow,Elite"
"611,38,Hive,Jets"
"612,38,Wizards,Tyrants"
"613,38,Sabres,Ducks"
"614,38,Outlaws,Rhinos"
"615,38,Foxes,Wolves"
"616,38,Flames,Tyrants"
"617,38,Hawks,Knights"
"620,39,Knights,Pirates"
"621,39,Hive,Wizards"
"622,39,Sabres,Flames"
"623,39,Puffins,Bears"
"624,39,Wolves,Shadow"
"625,39,Blizzard,Tyrants"
"626,39,Sabres,Rhinos"
"627,39,Hurricanes,Sharks"
"618,40,Jets,Express"
"619,40,Spartans,Knights"
"628,40,Eclipse,Blizzard"
"629,40,Lightning,Hurricanes"
"630,40,Puffins,Foxes"
"631,40,Wolves,Sabres"
"632,40,Ducks,Aviators"
"633,40,Hive,Hawks"
"634,40,Outlaws,Bears"
"635,40,Rhinos,Pirates"
"636,40,Dodgers,Bulls"
"637,40,Tyrants,Elite"
"638,40,Demolition,Comets"
"639,40,Wizards,Spectre"
"640,40,Pandas,Flames"
"641,40,Sharks,Shadow"
"713,40,Ducks,Hive"
"714,40,Hurricanes,Blizzard"
"715,40,Spartans,Shadow"
"778,40,Rhinos,Demolition"
"779,40,Flames,Pirates"
"642,47,Knights,Express"
"643,47,Sabres,Foxes"
"644,47,Shadow,Flames"
"645,47,Wizards,Demolition"
"646,47,Spectre,Comets"
"647,47,Tyrants,Dodgers"
"648,47,Rhinos,Outlaws"
